t,idx,name,x,y,conf
0.000000,0,nose,0.450760,0.142568,0.500630
0.000000,1,left_eye,0.446487,0.128571,0.412365
0.000000,2,right_eye,0.434632,0.128532,0.430519
0.000000,3,left_ear,0.402288,0.135925,0.222290
0.000000,4,right_ear,0.387521,0.136782,0.469566
0.000000,5,left_shoulder,0.385908,0.220418,0.601862
0.000000,6,right_shoulder,0.387492,0.228755,0.620933
0.000000,7,left_elbow,0.382369,0.360022,0.263043
0.000000,8,right_elbow,0.374868,0.365131,0.389996
0.000000,9,left_wrist,0.404070,0.475612,0.353905
0.000000,10,right_wrist,0.396290,0.476493,0.572342
0.000000,11,left_hip,0.375367,0.476691,0.374979
0.000000,12,right_hip,0.376241,0.478432,0.513533
0.000000,13,left_knee,0.371866,0.685358,0.302901
0.000000,14,right_knee,0.372357,0.686493,0.457991
0.000000,15,left_ankle,0.365240,0.862166,0.599472
0.000000,16,right_ankle,0.358173,0.874591,0.420817
0.070000,0,nose,0.450794,0.142596,0.500781
0.070000,1,left_eye,0.446538,0.128560,0.412296
0.070000,2,right_eye,0.434707,0.128536,0.428984
0.070000,3,left_ear,0.402267,0.135822,0.223409
0.070000,4,right_ear,0.387634,0.136710,0.468806
0.070000,5,left_shoulder,0.385912,0.220373,0.601420
0.070000,6,right_shoulder,0.387503,0.228692,0.621598
0.070000,7,left_elbow,0.382351,0.360021,0.262822
0.070000,8,right_elbow,0.374852,0.365136,0.389213
0.070000,9,left_wrist,0.404087,0.475611,0.354076
0.070000,10,right_wrist,0.396293,0.476494,0.572423
0.070000,11,left_hip,0.375383,0.476685,0.374897
0.070000,12,right_hip,0.376260,0.478427,0.513819
0.070000,13,left_knee,0.371885,0.685343,0.303479
0.070000,14,right_knee,0.372366,0.686478,0.457867
0.070000,15,left_ankle,0.365242,0.862187,0.599680
0.070000,16,right_ankle,0.358171,0.874589,0.420948
0.100000,0,nose,0.465628,0.289494,0.427806
0.100000,1,left_eye,0.476001,0.274490,0.500311
0.100000,2,right_eye,0.473798,0.270367,0.613190
0.100000,3,left_ear,0.458265,0.235706,0.240971
0.100000,4,right_ear,0.455108,0.230123,0.585729
0.100000,5,left_shoulder,0.363938,0.251532,0.389263
0.100000,6,right_shoulder,0.401205,0.256329,0.452214
0.100000,7,left_elbow,0.454703,0.381892,0.253864
0.100000,8,right_elbow,0.461365,0.384886,0.465683
0.100000,9,left_wrist,0.488313,0.491560,0.308781
0.100000,10,right_wrist,0.493909,0.493387,0.712657
0.100000,11,left_hip,0.326968,0.487699,0.488820
0.100000,12,right_hip,0.352705,0.489400,0.582305
0.100000,13,left_knee,0.348974,0.690944,0.526865
0.100000,14,right_knee,0.356972,0.688545,0.486071
0.100000,15,left_ankle,0.356701,0.863362,0.461759
0.100000,16,right_ankle,0.358623,0.876810,0.525129
0.200000,0,nose,0.483644,0.324331,0.524844
0.200000,1,left_eye,0.492217,0.311558,0.342621
0.200000,2,right_eye,0.492143,0.307080,0.537848
0.200000,3,left_ear,0.487241,0.265648,0.213811
0.200000,4,right_ear,0.485733,0.259637,0.465263
0.200000,5,left_shoulder,0.400165,0.267038,0.362714
0.200000,6,right_shoulder,0.422107,0.269964,0.391460
0.200000,7,left_elbow,0.459561,0.412146,0.234415
0.200000,8,right_elbow,0.467959,0.413139,0.433822
0.200000,9,left_wrist,0.477166,0.519633,0.191164
0.200000,10,right_wrist,0.486945,0.521971,0.637766
0.200000,11,left_hip,0.323312,0.491768,0.573615
0.200000,12,right_hip,0.342556,0.492090,0.599492
0.200000,13,left_knee,0.347547,0.693090,0.582244
0.200000,14,right_knee,0.351983,0.693434,0.604648
0.200000,15,left_ankle,0.362883,0.858393,0.544807
0.200000,16,right_ankle,0.358552,0.876895,0.473894
0.300000,0,nose,0.507432,0.368576,0.342009
0.300000,1,left_eye,0.519610,0.358880,0.373193
0.300000,2,right_eye,0.520562,0.353124,0.518159
0.300000,3,left_ear,0.520968,0.317977,0.238105
0.300000,4,right_ear,0.518580,0.305722,0.488377
0.300000,5,left_shoulder,0.447059,0.301422,0.390360
0.300000,6,right_shoulder,0.453392,0.304583,0.366794
0.300000,7,left_elbow,0.469252,0.445099,0.349896
0.300000,8,right_elbow,0.476421,0.448979,0.465438
0.300000,9,left_wrist,0.479508,0.563282,0.120909
0.300000,10,right_wrist,0.486542,0.567031,0.638018
0.300000,11,left_hip,0.317844,0.480763,0.479588
0.300000,12,right_hip,0.325659,0.477532,0.461051
0.300000,13,left_knee,0.346702,0.677363,0.522620
0.300000,14,right_knee,0.351110,0.682356,0.564000
0.300000,15,left_ankle,0.358866,0.855723,0.518454
0.300000,16,right_ankle,0.356882,0.873038,0.524741
0.400000,0,nose,0.520412,0.417412,0.399041
0.400000,1,left_eye,0.533948,0.411441,0.490493
0.400000,2,right_eye,0.532673,0.409542,0.499010
0.400000,3,left_ear,0.548863,0.373608,0.314070
0.400000,4,right_ear,0.544735,0.368776,0.494147
0.400000,5,left_shoulder,0.488401,0.344637,0.464468
0.400000,6,right_shoulder,0.486572,0.347049,0.516234
0.400000,7,left_elbow,0.492409,0.492252,0.336074
0.400000,8,right_elbow,0.496004,0.502520,0.416312
0.400000,9,left_wrist,0.488417,0.618579,0.238863
0.400000,10,right_wrist,0.491591,0.622732,0.730845
0.400000,11,left_hip,0.332534,0.478393,0.520240
