t,idx,name,x,y,conf
0.000000,0,nose,0.502242,0.209726,0.556128
0.000000,1,left_eye,0.512040,0.196034,0.529829
0.000000,2,right_eye,0.489376,0.196262,0.481086
0.000000,3,left_ear,0.526874,0.204421,0.760771
0.000000,4,right_ear,0.472610,0.206297,0.766849
0.000000,5,left_shoulder,0.553618,0.276582,0.676368
0.000000,6,right_shoulder,0.441212,0.281780,0.752930
0.000000,7,left_elbow,0.561854,0.383155,0.711560
0.000000,8,right_elbow,0.432596,0.385411,0.667256
0.000000,9,left_wrist,0.573088,0.494327,0.699448
0.000000,10,right_wrist,0.419527,0.475060,0.607335
0.000000,11,left_hip,0.528464,0.484551,0.730819
0.000000,12,right_hip,0.460875,0.483907,0.767244
0.000000,13,left_knee,0.520195,0.648542,0.810692
0.000000,14,right_knee,0.474530,0.649683,0.770200
0.000000,15,left_ankle,0.512484,0.813930,0.691371
0.000000,16,right_ankle,0.474702,0.807398,0.763777
0.100000,0,nose,0.502160,0.223695,0.500136
0.100000,1,left_eye,0.512962,0.208228,0.516402
0.100000,2,right_eye,0.488561,0.208496,0.479160
0.100000,3,left_ear,0.528019,0.219363,0.721894
0.100000,4,right_ear,0.472898,0.219596,0.735888
0.100000,5,left_shoulder,0.552236,0.293222,0.736316
0.100000,6,right_shoulder,0.443781,0.295626,0.750782
0.100000,7,left_elbow,0.569914,0.392160,0.582572
0.100000,8,right_elbow,0.421360,0.391495,0.568492
0.100000,9,left_wrist,0.599454,0.480809,0.839800
0.100000,10,right_wrist,0.396812,0.473722,0.839528
0.100000,11,left_hip,0.525491,0.488657,0.847340
0.100000,12,right_hip,0.459909,0.488114,0.816946
0.100000,13,left_knee,0.527995,0.661111,0.832609
0.100000,14,right_knee,0.465248,0.662358,0.671988
0.100000,15,left_ankle,0.514691,0.816889,0.685086
0.100000,16,right_ankle,0.479427,0.819548,0.745250
0.200000,0,nose,0.504259,0.206683,0.674532
0.200000,1,left_eye,0.513517,0.191310,0.648080
0.200000,2,right_eye,0.490995,0.189197,0.652591
0.200000,3,left_ear,0.524983,0.195948,0.876557
0.200000,4,right_ear,0.474650,0.195275,0.890280
0.200000,5,left_shoulder,0.556238,0.271620,0.890443
0.200000,6,right_shoulder,0.440799,0.277199,0.932710
0.200000,7,left_elbow,0.589227,0.350007,0.810657
0.200000,8,right_elbow,0.390715,0.355254,0.896248
0.200000,9,left_wrist,0.682181,0.363659,0.675203
0.200000,10,right_wrist,0.317844,0.358684,0.836376
0.200000,11,left_hip,0.533198,0.476549,0.888418
0.200000,12,right_hip,0.465989,0.473847,0.785903
0.200000,13,left_knee,0.553972,0.640871,0.853355
0.200000,14,right_knee,0.442109,0.637870,0.880645
0.200000,15,left_ankle,0.556064,0.794777,0.880481
0.200000,16,right_ankle,0.447370,0.791743,0.714432
0.300000,0,nose,0.502854,0.186833,0.600901
0.300000,1,left_eye,0.512665,0.172694,0.544977
0.300000,2,right_eye,0.489037,0.170149,0.559991
0.300000,3,left_ear,0.528085,0.174139,0.821795
0.300000,4,right_ear,0.477559,0.173845,0.881776
0.300000,5,left_shoulder,0.567667,0.233348,0.815716
0.300000,6,right_shoulder,0.439550,0.234106,0.861141
0.300000,7,left_elbow,0.644927,0.245843,0.846691
