t,idx,name,x,y,conf
0.000000,0,nose,0.540404,0.089587,0.766658
0.000000,1,left_eye,0.562485,0.072365,0.803445
0.000000,2,right_eye,0.518492,0.072131,0.826704
0.000000,3,left_ear,0.592852,0.094293,0.499624
0.000000,4,right_ear,0.484667,0.089545,0.693931
0.000000,5,left_shoulder,0.647416,0.201859,0.691707
0.000000,6,right_shoulder,0.415480,0.204361,0.712384
0.000000,7,left_elbow,0.680330,0.345629,0.829821
0.000000,8,right_elbow,0.367904,0.342319,0.772037
0.000000,9,left_wrist,0.699650,0.466677,0.707647
0.000000,10,right_wrist,0.335155,0.465731,0.811453
0.000000,11,left_hip,0.592673,0.438643,0.812186
0.000000,12,right_hip,0.446494,0.441402,0.750341
0.000000,13,left_knee,0.691749,0.635477,0.857143
0.000000,14,right_knee,0.324496,0.626534,0.752306
0.000000,15,left_ankle,0.807827,0.838339,0.795183
0.000000,16,right_ankle,0.196044,0.827842,0.779078
0.050000,0,nose,0.540728,0.088817,0.783247
0.050000,1,left_eye,0.562712,0.072013,0.814672
0.050000,2,right_eye,0.518497,0.071655,0.829021
0.050000,3,left_ear,0.592937,0.094069,0.484649
0.050000,4,right_ear,0.484766,0.089092,0.697206
0.050000,5,left_shoulder,0.647622,0.202151,0.699048
0.050000,6,right_shoulder,0.415196,0.205448,0.686589
0.050000,7,left_elbow,0.680412,0.341993,0.584071
0.050000,8,right_elbow,0.367464,0.339834,0.727153
0.050000,9,left_wrist,0.701363,0.461311,0.659985
0.050000,10,right_wrist,0.335346,0.463407,0.846020
0.050000,11,left_hip,0.594086,0.438903,0.607518
0.050000,12,right_hip,0.446358,0.442324,0.764814
0.050000,13,left_knee,0.699510,0.633965,0.653587
0.050000,14,right_knee,0.319347,0.626631,0.767891
0.050000,15,left_ankle,0.807820,0.838497,0.794573
0.050000,16,right_ankle,0.195452,0.828907,0.790279
0.100000,0,nose,0.541324,0.088893,0.752084
0.100000,1,left_eye,0.563455,0.072071,0.820131
0.100000,2,right_eye,0.518610,0.071524,0.814450
0.100000,3,left_ear,0.593411,0.094510,0.484306
0.100000,4,right_ear,0.484705,0.088942,0.671342
0.100000,5,left_shoulder,0.646149,0.203354,0.696883
0.100000,6,right_shoulder,0.415609,0.205184,0.687388
0.100000,7,left_elbow,0.682944,0.342149,0.624412
0.100000,8,right_elbow,0.366249,0.336621,0.629219
0.100000,9,left_wrist,0.700638,0.463250,0.542838
0.100000,10,right_wrist,0.335510,0.462214,0.822446
0.100000,11,left_hip,0.597797,0.439569,0.612149
0.100000,12,right_hip,0.448147,0.442558,0.760262
0.100000,13,left_knee,0.702806,0.634299,0.843289
0.100000,14,right_knee,0.317999,0.624887,0.574969
0.100000,15,left_ankle,0.808706,0.838139,0.777033
0.100000,16,right_ankle,0.196067,0.828851,0.781462
0.150000,0,nose,0.542320,0.088452,0.743637
0.150000,1,left_eye,0.564083,0.071794,0.832051
0.150000,2,right_eye,0.518939,0.071487,0.822005
0.150000,3,left_ear,0.593419,0.093645,0.450447
0.150000,4,right_ear,0.485408,0.089075,0.678281
0.150000,5,left_shoulder,0.646561,0.201672,0.642978
0.150000,6,right_shoulder,0.415227,0.206725,0.594390
0.150000,7,left_elbow,0.686044,0.340628,0.629757
0.150000,8,right_elbow,0.366064,0.336264,0.730019
0.150000,9,left_wrist,0.700980,0.462791,0.597329
0.150000,10,right_wrist,0.336833,0.458042,0.853264
0.150000,11,left_hip,0.600185,0.440057,0.650045
0.150000,12,right_hip,0.450680,0.443639,0.694005
0.150000,13,left_knee,0.712615,0.632065,0.853036
0.150000,14,right_knee,0.312500,0.623718,0.675963
0.150000,15,left_ankle,0.809137,0.838887,0.775407
0.150000,16,right_ankle,0.196688,0.828720,0.788654
0.200000,0,nose,0.542520,0.088909,0.742156
0.200000,1,left_eye,0.564371,0.072334,0.859538
0.200000,2,right_eye,0.519275,0.072102,0.845755
0.200000,3,left_ear,0.593541,0.094331,0.506152
0.200000,4,right_ear,0.485797,0.089868,0.702886
0.200000,5,left_shoulder,0.647585,0.201746,0.681879
0.200000,6,right_shoulder,0.414036,0.205241,0.683866
0.200000,7,left_elbow,0.687901,0.340517,0.802530
0.200000,8,right_elbow,0.364410,0.333600,0.713042
0.200000,9,left_wrist,0.699876,0.456811,0.629157
0.200000,10,right_wrist,0.343574,0.457048,0.822104
0.200000,11,left_hip,0.599396,0.440263,0.681342
0.200000,12,right_hip,0.448951,0.443867,0.786861
0.200000,13,left_knee,0.720965,0.631611,0.866341
0.200000,14,right_knee,0.308363,0.622248,0.819316
0.200000,15,left_ankle,0.809793,0.838553,0.792808
0.200000,16,right_ankle,0.196582,0.828397,0.804848
0.250000,0,nose,0.541441,0.093277,0.600745
0.250000,1,left_eye,0.564274,0.074515,0.831194
0.250000,2,right_eye,0.520020,0.074352,0.823376
0.250000,3,left_ear,0.593439,0.096041,0.597195
0.250000,4,right_ear,0.485588,0.092264,0.625789
0.250000,5,left_shoulder,0.647735,0.203856,0.737810
0.250000,6,right_shoulder,0.413905,0.205487,0.668049
0.250000,7,left_elbow,0.688475,0.337228,0.826222
0.250000,8,right_elbow,0.364236,0.330313,0.738470
0.250000,9,left_wrist,0.694491,0.445484,0.789916
0.250000,10,right_wrist,0.350587,0.443435,0.861213
0.250000,11,left_hip,0.599376,0.439697,0.689342
0.250000,12,right_hip,0.451495,0.442509,0.702925
0.250000,13,left_knee,0.734491,0.630424,0.852320
0.250000,14,right_knee,0.299431,0.624581,0.682903
0.250000,15,left_ankle,0.810550,0.838667,0.807336
0.250000,16,right_ankle,0.198625,0.826423,0.766976
0.300000,0,nose,0.541366,0.095850,0.750188
0.300000,1,left_eye,0.563707,0.077672,0.580812
0.300000,2,right_eye,0.519841,0.077180,0.768353
0.300000,3,left_ear,0.593323,0.098688,0.696716
0.300000,4,right_ear,0.483530,0.096829,0.620348
0.300000,5,left_shoulder,0.651008,0.205446,0.803756
0.300000,6,right_shoulder,0.411463,0.208441,0.852164
0.300000,7,left_elbow,0.692077,0.332560,0.870531
0.300000,8,right_elbow,0.360557,0.338977,0.764321
0.300000,9,left_wrist,0.690844,0.434650,0.733310
0.300000,10,right_wrist,0.360248,0.435217,0.787734
0.300000,11,left_hip,0.601443,0.445903,0.804804
0.300000,12,right_hip,0.451948,0.448250,0.646474
0.300000,13,left_knee,0.747955,0.630499,0.835255
0.300000,14,right_knee,0.287923,0.619763,0.828626
0.300000,15,left_ankle,0.812157,0.839459,0.849282
0.300000,16,right_ankle,0.195522,0.827945,0.811107
0.350000,0,nose,0.541982,0.100271,0.829041
0.350000,1,left_eye,0.564412,0.085716,0.908200
0.350000,2,right_eye,0.519505,0.084034,0.857677
0.350000,3,left_ear,0.591887,0.109672,0.563243
0.350000,4,right_ear,0.481924,0.105572,0.839428
0.350000,5,left_shoulder,0.653733,0.214958,0.896397
0.350000,6,right_shoulder,0.413873,0.215540,0.738735
0.350000,7,left_elbow,0.698016,0.334370,0.812046
0.350000,8,right_elbow,0.360900,0.349161,0.842294
0.350000,9,left_wrist,0.678149,0.404470,0.589911
0.350000,10,right_wrist,0.392404,0.420810,0.650584
0.350000,11,left_hip,0.596004,0.456800,0.908856
0.350000,12,right_hip,0.450840,0.454344,0.716018
0.350000,13,left_knee,0.774836,0.629509,0.882439
0.350000,14,right_knee,0.272882,0.616307,0.842862
0.350000,15,left_ankle,0.813213,0.839824,0.861957
0.350000,16,right_ankle,0.198518,0.830171,0.658679
0.400000,0,nose,0.541533,0.109899,0.701705
0.400000,1,left_eye,0.564193,0.092827,0.590278
0.400000,2,right_eye,0.520445,0.092282,0.785883
0.400000,3,left_ear,0.593549,0.116892,0.759313
0.400000,4,right_ear,0.482875,0.113592,0.601369
