timestamp,joint,angle
0.365,elbow_L_flex,67.2
0.536,elbow_L_flex,68.2
0.645,elbow_L_flex,68.1
0.801,elbow_L_flex,68.7
0.956,elbow_L_flex,68.7
1.080,elbow_L_flex,69.6
1.237,elbow_L_flex,69.9
1.361,elbow_L_flex,69.9
1.485,elbow_L_flex,71.4
1.625,elbow_L_flex,71.6
1.765,elbow_L_flex,71.6
1.889,elbow_L_flex,71.6
2.031,elbow_L_flex,72.5
2.156,elbow_L_flex,72.7
2.298,elbow_L_flex,72.7
2.404,elbow_L_flex,72.9
2.532,elbow_L_flex,72.5
2.672,elbow_L_flex,71.9
2.794,elbow_L_flex,70.5
2.935,elbow_L_flex,69.8
3.074,elbow_L_flex,69.2
3.197,elbow_L_flex,69.1
3.339,elbow_L_flex,69.0
3.479,elbow_L_flex,69.1
3.604,elbow_L_flex,68.8
3.746,elbow_L_flex,68.5
3.870,elbow_L_flex,70.7
4.011,elbow_L_flex,71.6
4.152,elbow_L_flex,108.2
4.275,elbow_L_flex,109.6
4.447,elbow_L_flex,11.6
4.618,elbow_L_flex,5.3
4.775,elbow_L_flex,0.7
4.945,elbow_L_flex,1.1
5.114,elbow_L_flex,0.9
5.286,elbow_L_flex,4.5
5.457,elbow_L_flex,7.5
5.627,elbow_L_flex,6.5
5.783,elbow_L_flex,0.0
5.924,elbow_L_flex,12.3
6.066,elbow_L_flex,8.9
6.223,elbow_L_flex,5.8
6.395,elbow_L_flex,5.1
6.520,elbow_L_flex,3.6
6.660,elbow_L_flex,1.7
6.815,elbow_L_flex,1.4
7.003,elbow_L_flex,6.2
7.158,elbow_L_flex,9.2
7.329,elbow_L_flex,1.6
7.501,elbow_L_flex,1.5
7.656,elbow_L_flex,2.3
7.797,elbow_L_flex,2.9
7.924,elbow_L_flex,4.0
8.095,elbow_L_flex,4.5
8.251,elbow_L_flex,5.8
8.391,elbow_L_flex,5.8
8.530,elbow_L_flex,6.7
8.701,elbow_L_flex,7.7
8.872,elbow_L_flex,7.5
9.028,elbow_L_flex,7.3
9.184,elbow_L_flex,6.3
9.340,elbow_L_flex,6.8
9.497,elbow_L_flex,4.3
9.667,elbow_L_flex,8.5
9.792,elbow_L_flex,3.9
9.978,elbow_L_flex,4.0
10.134,elbow_L_flex,5.0
10.277,elbow_L_flex,2.6
10.401,elbow_L_flex,10.1
10.541,elbow_L_flex,12.8
10.677,elbow_L_flex,11.9
10.850,elbow_L_flex,8.7
11.021,elbow_L_flex,11.8
11.144,elbow_L_flex,10.0
11.269,elbow_L_flex,9.3
11.410,elbow_L_flex,7.7
11.549,elbow_L_flex,7.9
11.706,elbow_L_flex,6.0
11.845,elbow_L_flex,4.1
12.003,elbow_L_flex,5.1
12.143,elbow_L_flex,5.9
12.312,elbow_L_flex,7.8
12.451,elbow_L_flex,9.3
12.623,elbow_L_flex,15.2
12.794,elbow_L_flex,14.2
12.949,elbow_L_flex,13.0
13.102,elbow_L_flex,11.0
13.255,elbow_L_flex,0.6
13.379,elbow_L_flex,4.9
13.553,elbow_L_flex,2.9
13.724,elbow_L_flex,7.1
13.877,elbow_L_flex,10.1
14.017,elbow_L_flex,13.6
14.158,elbow_L_flex,15.2
14.331,elbow_L_flex,13.0
14.485,elbow_L_flex,12.2
14.624,elbow_L_flex,10.0
14.798,elbow_L_flex,10.9
14.971,elbow_L_flex,12.2
15.126,elbow_L_flex,16.5
15.300,elbow_L_flex,17.1
15.469,elbow_L_flex,18.2
15.624,elbow_L_flex,21.7
15.795,elbow_L_flex,21.4
15.966,elbow_L_flex,22.2
16.135,elbow_L_flex,20.9
