timestamp,cadence,step_time_L,step_time_R,SI
0.643,0.0,,,
0.824,0.0,,,
0.996,0.0,,,
1.184,0.0,,,
1.357,0.0,,,
1.528,0.0,,,
1.732,0.0,,,
1.922,81.5,0.74,,
2.125,81.5,0.74,,
2.312,90.0,0.74,0.60,20.9
2.500,90.0,0.74,0.60,20.9
2.673,105.0,0.77,0.37,68.9
2.829,105.0,0.77,0.37,68.9
3.018,105.0,0.77,0.37,68.9
3.203,105.0,0.77,0.37,68.9
3.407,81.5,0.77,0.70,8.8
3.595,81.5,0.77,0.70,8.8
3.782,103.5,0.77,0.39,64.9
3.986,103.5,0.77,0.39,64.9
4.188,103.5,0.77,0.39,64.9
4.391,103.5,0.77,0.39,64.9
4.594,103.5,0.77,0.39,64.9
4.809,103.5,0.77,0.39,64.9
4.994,103.5,0.77,0.39,64.9
5.179,55.4,0.77,1.40,58.3
5.334,29.4,2.68,1.40,62.8
5.520,29.4,2.68,1.40,62.8
5.705,29.4,2.68,1.40,62.8
5.890,29.4,2.68,1.40,62.8
6.045,56.9,0.71,1.40,65.2
6.228,68.1,0.71,1.05,38.6
6.416,86.4,0.34,1.05,102.7
6.584,169.4,0.34,0.37,9.1
6.785,169.4,0.34,0.37,9.1
6.988,169.4,0.34,0.37,9.1
7.192,169.4,0.34,0.37,9.1
7.349,169.4,0.34,0.37,9.1
7.551,169.4,0.34,0.37,9.1
7.722,169.4,0.34,0.37,9.1
7.911,73.0,0.34,1.31,117.8
8.082,40.2,1.68,1.31,25.2
8.236,40.2,1.68,1.31,25.2
8.409,40.2,1.68,1.31,25.2
8.581,50.6,1.68,0.69,84.0
8.782,50.6,1.68,0.69,84.0
8.955,50.6,1.68,0.69,84.0
9.142,75.5,1.04,0.55,62.6
9.329,75.5,1.04,0.55,62.6
9.501,75.5,1.04,0.55,62.6
9.640,75.5,1.04,0.55,62.6
9.829,97.4,0.69,0.55,22.6
10.017,97.4,0.69,0.55,22.6
10.205,68.7,0.69,1.06,43.1
10.390,68.7,0.69,1.06,43.1
10.546,68.7,0.69,1.06,43.1
10.751,98.8,0.69,0.53,25.7
10.922,73.2,1.11,0.53,70.9
11.124,73.2,1.11,0.53,70.9
11.295,73.2,1.11,0.53,70.9
11.467,111.8,0.54,0.53,2.7
11.654,111.8,0.54,0.53,2.7
11.843,72.6,0.54,1.11,68.4
12.030,72.4,0.55,1.11,67.6
12.215,72.4,0.55,1.11,67.6
12.435,108.2,0.55,0.56,2.3
12.623,108.2,0.55,0.56,2.3
12.811,108.2,0.55,0.56,2.3
12.999,76.8,0.97,0.60,47.6
13.204,76.8,0.97,0.60,47.6
13.392,121.4,0.39,0.60,41.0
13.546,121.4,0.39,0.60,41.0
13.750,121.4,0.39,0.60,41.0
13.921,121.4,0.39,0.60,41.0
14.124,65.6,0.72,1.11,43.0
14.311,65.6,0.72,1.11,43.0
14.516,80.0,0.39,1.11,96.0
14.703,80.0,0.39,1.11,96.0
14.845,102.2,0.39,0.78,66.4
15.050,102.2,0.39,0.78,66.4
15.221,162.4,0.39,0.35,12.2
15.408,138.9,0.52,0.35,39.4
15.549,138.9,0.52,0.35,39.4
15.740,138.9,0.52,0.35,39.4
15.928,138.9,0.52,0.35,39.4
16.116,86.0,0.52,0.88,51.7
16.304,86.0,0.52,0.88,51.7
16.475,61.2,1.08,0.88,21.0
16.662,61.2,1.08,0.88,21.0
16.849,61.2,1.08,0.88,21.0
17.035,61.2,1.08,0.88,21.0
17.210,74.6,0.73,0.88,18.2
17.368,59.6,0.73,1.28,54.7
17.554,74.4,0.33,1.28,117.6
17.743,177.2,0.33,0.34,3.6
17.928,177.2,0.33,0.34,3.6
18.100,177.2,0.33,0.34,3.6
18.303,111.4,0.73,0.34,72.0
18.472,81.0,0.73,0.75,2.2
18.661,107.0,0.37,0.75,67.1
18.849,164.3,0.37,0.36,3.9
19.036,163.3,0.38,0.36,5.1
19.211,159.6,0.38,0.38,0.5
19.416,162.9,0.36,0.38,3.7
19.574,162.9,0.36,0.38,3.7
19.762,162.5,0.36,0.38,3.2
19.963,110.2,0.36,0.73,66.5
20.136,107.6,0.39,0.73,60.4
20.336,157.2,0.39,0.37,4.0
20.524,160.7,0.37,0.37,0.4
20.699,160.7,0.37,0.37,0.4
20.870,128.3,0.37,0.56,40.7
21.072,109.4,0.53,0.56,5.2
21.229,109.4,0.53,0.56,5.2
21.415,135.0,0.36,0.53,38.6
21.602,135.0,0.36,0.53,38.6
21.791,132.9,0.37,0.53,34.9
21.962,132.9,0.37,0.53,34.9
22.117,109.8,0.36,0.73,68.2
22.274,109.8,0.36,0.73,68.2
22.460,109.8,0.36,0.73,68.2
22.631,109.8,0.36,0.73,68.2
22.805,116.6,0.36,0.67,60.0
22.991,79.4,0.84,0.67,23.0
23.161,79.4,0.84,0.67,23.0
23.348,117.1,0.36,0.67,61.1
23.537,117.1,0.36,0.67,61.1
23.706,117.1,0.36,0.67,61.1
23.864,117.1,0.36,0.67,61.1
24.035,62.0,0.70,1.23,54.7
24.206,62.0,0.70,1.23,54.7
24.378,62.0,0.70,1.23,54.7
24.568,62.0,0.70,1.23,54.7
24.753,85.2,0.70,0.70,
24.957,85.2,0.70,0.70,
25.145,85.2,0.70,0.70,
25.332,85.2,0.70,0.70,
25.505,85.2,0.70,0.70,
25.662,73.1,0.94,0.70,28.3
25.819,73.1,0.94,0.70,28.3
26.006,73.1,0.94,0.70,28.3
26.178,73.1,0.94,0.70,28.3
26.365,73.1,0.94,0.70,28.3
26.553,76.7,0.86,0.70,19.9
26.739,76.7,0.86,0.70,19.9
26.910,76.7,0.86,0.70,19.9
27.082,96.1,0.54,0.70,25.6
27.269,96.1,0.54,0.70,25.6
27.470,96.1,0.54,0.70,25.6
27.673,96.1,0.54,0.70,25.6
27.844,96.1,0.54,0.70,25.6
28.031,73.3,0.93,0.70,28.0
28.203,73.3,0.93,0.70,28.0
28.372,26.3,0.93,3.63,118.2
28.561,28.8,0.53,3.63,149.2
28.748,28.8,0.53,3.63,149.2
28.968,28.8,0.53,3.63,149.2
29.169,28.8,0.53,3.63,149.2
29.357,28.8,0.53,3.63,149.2
29.543,26.0,0.98,3.63,114.8
29.714,26.0,0.98,3.63,114.8
29.917,30.1,0.36,3.63,164.2
30.072,30.1,0.36,3.63,164.2
30.231,30.1,0.36,3.63,164.2
30.418,30.1,0.36,3.63,164.2
