t,idx,name,x,y,conf
0.000000,0,nose,0.427144,0.159146,0.670309
0.000000,1,left_eye,0.440507,0.138118,0.674168
0.000000,2,right_eye,0.438235,0.136628,0.596042
0.000000,3,left_ear,0.484222,0.144746,0.541307
0.000000,4,right_ear,0.480660,0.141069,0.490851
0.000000,5,left_shoulder,0.487198,0.230716,0.747347
0.000000,6,right_shoulder,0.494237,0.229668,0.493823
0.000000,7,left_elbow,0.495147,0.343235,0.582116
0.000000,8,right_elbow,0.498107,0.352778,0.476067
0.000000,9,left_wrist,0.472769,0.438149,0.443475
0.000000,10,right_wrist,0.474641,0.439264,0.499911
0.000000,11,left_hip,0.485936,0.496768,0.686499
0.000000,12,right_hip,0.489221,0.496158,0.791255
0.000000,13,left_knee,0.519301,0.700960,0.825899
0.000000,14,right_knee,0.522889,0.697040,0.774237
0.000000,15,left_ankle,0.555695,0.896918,0.563228
0.000000,16,right_ankle,0.553576,0.882980,0.758313
0.300000,0,nose,0.421461,0.134188,0.547155
0.300000,1,left_eye,0.433543,0.114903,0.742715
0.300000,2,right_eye,0.432508,0.113164,0.745283
0.300000,3,left_ear,0.477647,0.119457,0.708268
0.300000,4,right_ear,0.474282,0.118396,0.569595
0.300000,5,left_shoulder,0.480997,0.202739,0.787803
0.300000,6,right_shoulder,0.488310,0.203495,0.750421
0.300000,7,left_elbow,0.485228,0.318139,0.667623
0.300000,8,right_elbow,0.491777,0.319039,0.469176
0.300000,9,left_wrist,0.465099,0.406394,0.523696
0.300000,10,right_wrist,0.470031,0.405132,0.358696
0.300000,11,left_hip,0.478361,0.475979,0.747478
0.300000,12,right_hip,0.483792,0.473223,0.630760
0.300000,13,left_knee,0.506303,0.674843,0.810308
0.300000,14,right_knee,0.512742,0.672185,0.756994
0.300000,15,left_ankle,0.545617,0.871337,0.579308
0.300000,16,right_ankle,0.544822,0.853970,0.615583
0.600000,0,nose,0.421355,0.104658,0.540884
0.600000,1,left_eye,0.435560,0.086211,0.668570
0.600000,2,right_eye,0.433536,0.084438,0.743324
0.600000,3,left_ear,0.479187,0.091674,0.564471
0.600000,4,right_ear,0.474003,0.089197,0.493177
0.600000,5,left_shoulder,0.481965,0.175111,0.810133
0.600000,6,right_shoulder,0.485118,0.176287,0.672215
0.600000,7,left_elbow,0.482537,0.290316,0.527066
0.600000,8,right_elbow,0.485144,0.293589,0.586909
0.600000,9,left_wrist,0.455904,0.375639,0.438731
0.600000,10,right_wrist,0.460102,0.374396,0.341513
0.600000,11,left_hip,0.473181,0.453231,0.733113
0.600000,12,right_hip,0.476559,0.450713,0.774985
0.600000,13,left_knee,0.484494,0.648775,0.561892
0.600000,14,right_knee,0.483569,0.643620,0.793143
0.600000,15,left_ankle,0.511086,0.856237,0.451432
0.600000,16,right_ankle,0.515400,0.836864,0.649072
0.900000,0,nose,0.421461,0.134188,0.547155
0.900000,1,left_eye,0.433543,0.114903,0.742715
0.900000,2,right_eye,0.432508,0.113164,0.745283
0.900000,3,left_ear,0.477647,0.119457,0.708268
0.900000,4,right_ear,0.474282,0.118396,0.569595
0.900000,5,left_shoulder,0.480997,0.202739,0.787803
0.900000,6,right_shoulder,0.488310,0.203495,0.750421
0.900000,7,left_elbow,0.485228,0.318139,0.667623
0.900000,8,right_elbow,0.491777,0.319039,0.469176
0.900000,9,left_wrist,0.465099,0.406394,0.523696
0.900000,10,right_wrist,0.470031,0.405132,0.358696
0.900000,11,left_hip,0.478361,0.475979,0.747478
0.900000,12,right_hip,0.483792,0.473223,0.630760
0.900000,13,left_knee,0.506303,0.674843,0.810308
0.900000,14,right_knee,0.512742,0.672185,0.756994
0.900000,15,left_ankle,0.545617,0.871337,0.579308
0.900000,16,right_ankle,0.544822,0.853970,0.615583
